P1,0, 0, 2, 57, 4 
P2,1, 0, 1, 50, 6 
P3,1, 0, 2, 51, 8 
P4,1, 0, 3, 65, 2 
P5,1, 0, 2, 25, 3 
P6,2, 0, 3, 65, 18 
P7,2, 0, 4, 55, 12 
P8,2, 0, 4, 7, 8 
P9,3, 0, 2, 28, 20 
P10,4, 0, 4, 32, 4  
P11,5, 0, 3, 28, 2 
P12,5, 0, 2, 53, 2 
P13,6, 0, 2, 158, 4 
P14,6, 0, 2, 74, 6 
P15,8, 0, 4, 78, 8 
P16,9, 0, 4, 17, 24 
P17,11, 0, 4, 62, 20 
P18,12, 0, 4, 33, 6 
P19,14, 0, 2, 9,36  
P20,15, 0, 4, 40, 12 
P21,16, 0, 3, 10, 4 
P22,18, 0, 2, 79,16  
P23,22, 0, 3, 57, 8 
P24,23, 0, 2, 17, 4 
P25,24, 0, 2, 51, 2  
